#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0051607	Defense response to virus	22	252	0.93	1.63	1.19e-09	9606.ENSP00000228928,9606.ENSP00000254436,9606.ENSP00000259030,9606.ENSP00000260184,9606.ENSP00000264350,9606.ENSP00000296795,9606.ENSP00000305651,9606.ENSP00000306565,9606.ENSP00000329967,9606.ENSP00000342278,9606.ENSP00000346437,9606.ENSP00000353512,9606.ENSP00000360817,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000371471,9606.ENSP00000380073,9606.ENSP00000386125,9606.ENSP00000388001,9606.ENSP00000486676,9606.ENSP00000490935,9606.ENSP00000497271	OAS3,TRIM21,RTP4,DDX60L,HERC5,TLR3,CXCL10,ISG20,TBK1,OAS2,ATG7,PARP9,ZNFX1,IFIT1,IFIT3,RSAD2,IRF9,ARMC5,OAS1,TREX1,IFIT2,IFIH1
GO Process	GO:0009615	Response to virus	24	356	0.82	1.42	5.24e-09	9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000254436,9606.ENSP00000259030,9606.ENSP00000260184,9606.ENSP00000264350,9606.ENSP00000296795,9606.ENSP00000305651,9606.ENSP00000306565,9606.ENSP00000329967,9606.ENSP00000342278,9606.ENSP00000346437,9606.ENSP00000353512,9606.ENSP00000356562,9606.ENSP00000360817,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000371471,9606.ENSP00000380073,9606.ENSP00000386125,9606.ENSP00000388001,9606.ENSP00000486676,9606.ENSP00000490935,9606.ENSP00000497271	OAS3,NMI,TRIM21,RTP4,DDX60L,HERC5,TLR3,CXCL10,ISG20,TBK1,OAS2,ATG7,PARP9,XPR1,ZNFX1,IFIT1,IFIT3,RSAD2,IRF9,ARMC5,OAS1,TREX1,IFIT2,IFIH1
GO Process	GO:0044419	Biological process involved in interspecies interaction between organisms	48	1490	0.5	0.99	5.43e-09	9606.ENSP00000215794,9606.ENSP00000227880,9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000254436,9606.ENSP00000254950,9606.ENSP00000256722,9606.ENSP00000259030,9606.ENSP00000260184,9606.ENSP00000264346,9606.ENSP00000264350,9606.ENSP00000284274,9606.ENSP00000294728,9606.ENSP00000295927,9606.ENSP00000296585,9606.ENSP00000296795,9606.ENSP00000298717,9606.ENSP00000305651,9606.ENSP00000306099,9606.ENSP00000306565,9606.ENSP00000327513,9606.ENSP00000329967,9606.ENSP00000342278,9606.ENSP00000346437,9606.ENSP00000353512,9606.ENSP00000356438,9606.ENSP00000356562,9606.ENSP00000359488,9606.ENSP00000359490,9606.ENSP00000360817,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000363973,9606.ENSP00000370621,9606.ENSP00000371471,9606.ENSP00000380073,9606.ENSP00000383333,9606.ENSP00000386125,9606.ENSP00000388001,9606.ENSP00000388566,9606.ENSP00000430950,9606.ENSP00000433209,9606.ENSP00000438399,9606.ENSP00000464087,9606.ENSP00000481570,9606.ENSP00000486676,9606.ENSP00000490935,9606.ENSP00000497271	USP18,SLC15A3,OAS3,NMI,TRIM21,VPS4A,CMPK2,RTP4,DDX60L,HERC6,HERC5,OTULIN,VCAM1,PTX3,ITGA2,TLR3,METTL3,CXCL10,FGB,ISG20,CSF1,TBK1,OAS2,ATG7,PARP9,PTGS2,XPR1,GBP5,GBP4,ZNFX1,IFIT1,IFIT3,ALPL,ZBED1,RSAD2,IRF9,MORC3,ARMC5,OAS1,CASP4,IDO1,GSDMD,IST1,RNF213,TNFAIP3,TREX1,IFIT2,IFIH1
GO Process	GO:0009607	Response to biotic stimulus	45	1375	0.5	0.98	1.54e-08	9606.ENSP00000215794,9606.ENSP00000227880,9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000254436,9606.ENSP00000256722,9606.ENSP00000259030,9606.ENSP00000260184,9606.ENSP00000264346,9606.ENSP00000264350,9606.ENSP00000284274,9606.ENSP00000294728,9606.ENSP00000295927,9606.ENSP00000296795,9606.ENSP00000298717,9606.ENSP00000305651,9606.ENSP00000306099,9606.ENSP00000306565,9606.ENSP00000327513,9606.ENSP00000329967,9606.ENSP00000342278,9606.ENSP00000346437,9606.ENSP00000353512,9606.ENSP00000356438,9606.ENSP00000356562,9606.ENSP00000359488,9606.ENSP00000359490,9606.ENSP00000360817,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000363973,9606.ENSP00000371471,9606.ENSP00000380073,9606.ENSP00000383333,9606.ENSP00000386125,9606.ENSP00000388001,9606.ENSP00000388566,9606.ENSP00000400010,9606.ENSP00000430950,9606.ENSP00000433209,9606.ENSP00000464087,9606.ENSP00000481570,9606.ENSP00000486676,9606.ENSP00000490935,9606.ENSP00000497271	USP18,SLC15A3,OAS3,NMI,TRIM21,CMPK2,RTP4,DDX60L,HERC6,HERC5,OTULIN,VCAM1,PTX3,TLR3,METTL3,CXCL10,FGB,ISG20,CSF1,TBK1,OAS2,ATG7,PARP9,PTGS2,XPR1,GBP5,GBP4,ZNFX1,IFIT1,IFIT3,ALPL,RSAD2,IRF9,MORC3,ARMC5,OAS1,CASP4,PTPRJ,IDO1,GSDMD,RNF213,TNFAIP3,TREX1,IFIT2,IFIH1
GO Process	GO:0051707	Response to other organism	44	1328	0.51	0.98	1.58e-08	9606.ENSP00000215794,9606.ENSP00000227880,9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000254436,9606.ENSP00000256722,9606.ENSP00000259030,9606.ENSP00000260184,9606.ENSP00000264346,9606.ENSP00000264350,9606.ENSP00000284274,9606.ENSP00000294728,9606.ENSP00000295927,9606.ENSP00000296795,9606.ENSP00000298717,9606.ENSP00000305651,9606.ENSP00000306099,9606.ENSP00000306565,9606.ENSP00000327513,9606.ENSP00000329967,9606.ENSP00000342278,9606.ENSP00000346437,9606.ENSP00000353512,9606.ENSP00000356438,9606.ENSP00000356562,9606.ENSP00000359488,9606.ENSP00000359490,9606.ENSP00000360817,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000363973,9606.ENSP00000371471,9606.ENSP00000380073,9606.ENSP00000383333,9606.ENSP00000386125,9606.ENSP00000388001,9606.ENSP00000388566,9606.ENSP00000430950,9606.ENSP00000433209,9606.ENSP00000464087,9606.ENSP00000481570,9606.ENSP00000486676,9606.ENSP00000490935,9606.ENSP00000497271	USP18,SLC15A3,OAS3,NMI,TRIM21,CMPK2,RTP4,DDX60L,HERC6,HERC5,OTULIN,VCAM1,PTX3,TLR3,METTL3,CXCL10,FGB,ISG20,CSF1,TBK1,OAS2,ATG7,PARP9,PTGS2,XPR1,GBP5,GBP4,ZNFX1,IFIT1,IFIT3,ALPL,RSAD2,IRF9,MORC3,ARMC5,OAS1,CASP4,IDO1,GSDMD,RNF213,TNFAIP3,TREX1,IFIT2,IFIH1
GO Process	GO:0098542	Defense response to other organism	35	989	0.54	0.92	4.63e-07	9606.ENSP00000227880,9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000254436,9606.ENSP00000259030,9606.ENSP00000260184,9606.ENSP00000264350,9606.ENSP00000284274,9606.ENSP00000295927,9606.ENSP00000296795,9606.ENSP00000298717,9606.ENSP00000305651,9606.ENSP00000306099,9606.ENSP00000306565,9606.ENSP00000327513,9606.ENSP00000329967,9606.ENSP00000342278,9606.ENSP00000346437,9606.ENSP00000353512,9606.ENSP00000359488,9606.ENSP00000359490,9606.ENSP00000360817,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000371471,9606.ENSP00000380073,9606.ENSP00000383333,9606.ENSP00000386125,9606.ENSP00000388001,9606.ENSP00000388566,9606.ENSP00000433209,9606.ENSP00000464087,9606.ENSP00000486676,9606.ENSP00000490935,9606.ENSP00000497271	SLC15A3,OAS3,NMI,TRIM21,RTP4,DDX60L,HERC5,OTULIN,PTX3,TLR3,METTL3,CXCL10,FGB,ISG20,CSF1,TBK1,OAS2,ATG7,PARP9,GBP5,GBP4,ZNFX1,IFIT1,IFIT3,RSAD2,IRF9,MORC3,ARMC5,OAS1,CASP4,GSDMD,RNF213,TREX1,IFIT2,IFIH1
GO Process	GO:0045087	Innate immune response	29	754	0.57	0.89	2.87e-06	9606.ENSP00000227880,9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000254436,9606.ENSP00000264350,9606.ENSP00000284274,9606.ENSP00000295927,9606.ENSP00000296795,9606.ENSP00000298717,9606.ENSP00000305651,9606.ENSP00000306099,9606.ENSP00000306565,9606.ENSP00000327513,9606.ENSP00000329967,9606.ENSP00000342278,9606.ENSP00000353512,9606.ENSP00000359488,9606.ENSP00000359490,9606.ENSP00000360817,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000371471,9606.ENSP00000383333,9606.ENSP00000388001,9606.ENSP00000388566,9606.ENSP00000433209,9606.ENSP00000486676,9606.ENSP00000490935,9606.ENSP00000497271	SLC15A3,OAS3,NMI,TRIM21,HERC5,OTULIN,PTX3,TLR3,METTL3,CXCL10,FGB,ISG20,CSF1,TBK1,OAS2,PARP9,GBP5,GBP4,ZNFX1,IFIT1,IFIT3,RSAD2,MORC3,OAS1,CASP4,GSDMD,TREX1,IFIT2,IFIH1
GO Process	GO:0006952	Defense response	40	1394	0.45	0.75	6.26e-06	9606.ENSP00000227880,9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000254436,9606.ENSP00000259030,9606.ENSP00000260184,9606.ENSP00000264350,9606.ENSP00000284274,9606.ENSP00000294728,9606.ENSP00000295927,9606.ENSP00000296795,9606.ENSP00000298717,9606.ENSP00000305651,9606.ENSP00000306099,9606.ENSP00000306565,9606.ENSP00000327513,9606.ENSP00000329967,9606.ENSP00000342278,9606.ENSP00000346437,9606.ENSP00000353512,9606.ENSP00000356438,9606.ENSP00000359488,9606.ENSP00000359490,9606.ENSP00000360817,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000363031,9606.ENSP00000371471,9606.ENSP00000380073,9606.ENSP00000383333,9606.ENSP00000386125,9606.ENSP00000388001,9606.ENSP00000388566,9606.ENSP00000430950,9606.ENSP00000433209,9606.ENSP00000464087,9606.ENSP00000481570,9606.ENSP00000486676,9606.ENSP00000490935,9606.ENSP00000497271	SLC15A3,OAS3,NMI,TRIM21,RTP4,DDX60L,HERC5,OTULIN,VCAM1,PTX3,TLR3,METTL3,CXCL10,FGB,ISG20,CSF1,TBK1,OAS2,ATG7,PARP9,PTGS2,GBP5,GBP4,ZNFX1,IFIT1,IFIT3,THEMIS2,RSAD2,IRF9,MORC3,ARMC5,OAS1,CASP4,IDO1,GSDMD,RNF213,TNFAIP3,TREX1,IFIT2,IFIH1
GO Process	GO:0048525	Negative regulation of viral process	11	94	1.06	1.12	1.39e-05	9606.ENSP00000228928,9606.ENSP00000254436,9606.ENSP00000295927,9606.ENSP00000306565,9606.ENSP00000342278,9606.ENSP00000360817,9606.ENSP00000360869,9606.ENSP00000371471,9606.ENSP00000388001,9606.ENSP00000434776,9606.ENSP00000497271	OAS3,TRIM21,PTX3,ISG20,OAS2,ZNFX1,IFIT1,RSAD2,OAS1,PARP10,IFIH1
GO Process	GO:0045071	Negative regulation of viral genome replication	9	56	1.2	1.13	2.45e-05	9606.ENSP00000228928,9606.ENSP00000306565,9606.ENSP00000342278,9606.ENSP00000360817,9606.ENSP00000360869,9606.ENSP00000371471,9606.ENSP00000388001,9606.ENSP00000434776,9606.ENSP00000497271	OAS3,ISG20,OAS2,ZNFX1,IFIT1,RSAD2,OAS1,PARP10,IFIH1
