category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description	-log10(fdr)	Enrichment	GO_score
COMPARTMENTS	GOCC:0005737	55	8195	9606	RIPK2,SLC15A3,OAS3,BST2,RIDA,CMPK2,OASL,HLA-F,HERC6,ALDH8A1,DTX3L,ITGB5,ERAP1,TRIM56,ISG20,COMMD1,TIMM22,MX2,ALG12,LIPA,PLAUR,OAS2,PLSCR1,PARP9,CES1,GLMP,COA3,MT-ND3,COA6,PLA2G4A,S100A4,GBP1,CYP2J2,IFIT1,IFIT3,YIF1A,RIGI,SAMD9,TRIM5,LGALS9,MX1,CTNNA2,OAS1,PNPT1,SLC35A2,HLA-H,PARP14,RAB9A,MRPS21,RNF213,CAMK1D,ACSF3,IFIT2,ISG15,IFIH1	RIPK2,SLC15A3,OAS3,BST2,RIDA,CMPK2,OASL,HLA-F,HERC6,ALDH8A1,DTX3L,ITGB5,ERAP1,TRIM56,ISG20,COMMD1,TIMM22,MX2,ALG12,LIPA,PLAUR,OAS2,PLSCR1,PARP9,CES1,GLMP,COA3,MT-ND3,COA6,PLA2G4A,S100A4,GBP1,CYP2J2,IFIT1,IFIT3,YIF1A,DDX58,SAMD9,TRIM5,LGALS9,MX1,CTNNA2,OAS1,PNPT1,SLC35A2,HFE,PARP14,RAB9A,MRPS21,RNF213,CAMK1D,ACSF3,IFIT2,ISG15,IFIH1	2.43e-07	0.00056	Cytoplasm	3.2518119729937998	0.23930617764409462	0.778178693674448
COMPARTMENTS	GOCC:0043227	56	9083	9606	CSTF1,RIPK2,PLAT,SLC15A3,OAS3,DDX49,BST2,RIDA,CMPK2,OASL,HLA-F,HERC6,DTX3L,ITGB5,ERAP1,TRIM56,ISG20,COMMD1,TIMM22,UBA7,MX2,ALG12,LIPA,PLAUR,OAS2,PLSCR1,PARP9,CES1,GLMP,COA3,MT-ND3,COA6,PLA2G4A,S100A4,GBP1,CYP2J2,IFIT3,YIF1A,RIGI,LGALS9,MX1,OAS1,PNPT1,SLC35A2,HELZ2,HLA-H,RAB9A,H2AX,MRPS21,SLC16A3,RNF213,CAMK1D,ACSF3,IFIT2,ISG15,IFIH1	CSTF1,RIPK2,PLAT,SLC15A3,OAS3,DDX49,BST2,RIDA,CMPK2,OASL,HLA-F,HERC6,DTX3L,ITGB5,ERAP1,TRIM56,ISG20,COMMD1,TIMM22,UBA7,MX2,ALG12,LIPA,PLAUR,OAS2,PLSCR1,PARP9,CES1,GLMP,COA3,MT-ND3,COA6,PLA2G4A,S100A4,GBP1,CYP2J2,IFIT3,YIF1A,DDX58,LGALS9,MX1,OAS1,PNPT1,SLC35A2,HELZ2,HFE,RAB9A,H2AX,MRPS21,SLC16A3,RNF213,CAMK1D,ACSF3,IFIT2,ISG15,IFIH1	4.01e-06	0.0046	Membrane-bounded organelle	2.337242168318426	0.20245115887418696	0.4731773855456829
COMPARTMENTS	GOCC:0005622	64	11512	9606	CSTF1,RIPK2,PLAT,SLC15A3,OAS3,DDX49,BST2,RIDA,CMPK2,OASL,GMPR,HLA-F,HERC6,ALDH8A1,DTX3L,ITGB5,ERAP1,TRIM56,ISG20,COMMD1,TIMM22,UBA7,MX2,ALG12,LIPA,PLAUR,OAS2,PLSCR1,PARP9,CES1,GLMP,COA3,MT-ND3,COA6,PLA2G4A,S100A4,GBP1,CYP2J2,IFIT1,IFIT3,YIF1A,RIGI,SAMD9,TRIM5,LGALS9,TYMP,MX1,CTNNA2,OAS1,PNPT1,SLC35A2,HELZ2,HLA-H,PARP14,RAB9A,H2AX,MRPS21,SLC16A3,RNF213,CAMK1D,ACSF3,IFIT2,ISG15,IFIH1	CSTF1,RIPK2,PLAT,SLC15A3,OAS3,DDX49,BST2,RIDA,CMPK2,OASL,GMPR,HLA-F,HERC6,ALDH8A1,DTX3L,ITGB5,ERAP1,TRIM56,ISG20,COMMD1,TIMM22,UBA7,MX2,ALG12,LIPA,PLAUR,OAS2,PLSCR1,PARP9,CES1,GLMP,COA3,MT-ND3,COA6,PLA2G4A,S100A4,GBP1,CYP2J2,IFIT1,IFIT3,YIF1A,DDX58,SAMD9,TRIM5,LGALS9,TYMP,MX1,CTNNA2,OAS1,PNPT1,SLC35A2,HELZ2,HFE,PARP14,RAB9A,H2AX,MRPS21,SLC16A3,RNF213,CAMK1D,ACSF3,IFIT2,ISG15,IFIH1	8.08e-06	0.0048	Intracellular	2.318758762624413	0.15752163911170705	0.36525468099323116
COMPARTMENTS	GOCC:0043231	52	8162	9606	CSTF1,SLC15A3,OAS3,DDX49,BST2,RIDA,CMPK2,OASL,HLA-F,HERC6,DTX3L,ERAP1,TRIM56,ISG20,COMMD1,TIMM22,UBA7,MX2,ALG12,LIPA,PLAUR,OAS2,PLSCR1,PARP9,CES1,GLMP,COA3,MT-ND3,COA6,PLA2G4A,S100A4,GBP1,CYP2J2,IFIT3,YIF1A,LGALS9,MX1,OAS1,PNPT1,SLC35A2,HELZ2,HLA-H,RAB9A,H2AX,MRPS21,SLC16A3,RNF213,CAMK1D,ACSF3,IFIT2,ISG15,IFIH1	CSTF1,SLC15A3,OAS3,DDX49,BST2,RIDA,CMPK2,OASL,HLA-F,HERC6,DTX3L,ERAP1,TRIM56,ISG20,COMMD1,TIMM22,UBA7,MX2,ALG12,LIPA,PLAUR,OAS2,PLSCR1,PARP9,CES1,GLMP,COA3,MT-ND3,COA6,PLA2G4A,S100A4,GBP1,CYP2J2,IFIT3,YIF1A,LGALS9,MX1,OAS1,PNPT1,SLC35A2,HELZ2,HFE,RAB9A,H2AX,MRPS21,SLC16A3,RNF213,CAMK1D,ACSF3,IFIT2,ISG15,IFIH1	6.31e-06	0.0048	Intracellular membrane-bounded organelle	2.318758762624413	0.2166991992539157	0.5024731671237107
COMPARTMENTS	GOCC:0043226	58	10113	9606	CSTF1,RIPK2,PLAT,SLC15A3,OAS3,DDX49,BST2,RIDA,CMPK2,OASL,HLA-F,HERC6,DTX3L,ITGB5,ERAP1,TRIM56,ISG20,COMMD1,TIMM22,UBA7,MX2,ALG12,LIPA,PLAUR,OAS2,PLSCR1,PARP9,CES1,GLMP,COA3,MT-ND3,COA6,PLA2G4A,S100A4,GBP1,CYP2J2,IFIT3,YIF1A,RIGI,TRIM5,LGALS9,MX1,OAS1,PNPT1,SLC35A2,HELZ2,HLA-H,RAB9A,RPL26L1,H2AX,MRPS21,SLC16A3,RNF213,CAMK1D,ACSF3,IFIT2,ISG15,IFIH1	CSTF1,RIPK2,PLAT,SLC15A3,OAS3,DDX49,BST2,RIDA,CMPK2,OASL,HLA-F,HERC6,DTX3L,ITGB5,ERAP1,TRIM56,ISG20,COMMD1,TIMM22,UBA7,MX2,ALG12,LIPA,PLAUR,OAS2,PLSCR1,PARP9,CES1,GLMP,COA3,MT-ND3,COA6,PLA2G4A,S100A4,GBP1,CYP2J2,IFIT3,YIF1A,DDX58,TRIM5,LGALS9,MX1,OAS1,PNPT1,SLC35A2,HELZ2,HFE,RAB9A,RPL26L1,H2AX,MRPS21,SLC16A3,RNF213,CAMK1D,ACSF3,IFIT2,ISG15,IFIH1	2.79e-05	0.0128	Organelle	1.8927900303521317	0.1710404323786716	0.3237436251934675
COMPARTMENTS	GOCC:0043229	56	9609	9606	CSTF1,RIPK2,SLC15A3,OAS3,DDX49,BST2,RIDA,CMPK2,OASL,HLA-F,HERC6,DTX3L,ITGB5,ERAP1,TRIM56,ISG20,COMMD1,TIMM22,UBA7,MX2,ALG12,LIPA,PLAUR,OAS2,PLSCR1,PARP9,CES1,GLMP,COA3,MT-ND3,COA6,PLA2G4A,S100A4,GBP1,CYP2J2,IFIT3,YIF1A,RIGI,TRIM5,LGALS9,MX1,OAS1,PNPT1,SLC35A2,HELZ2,HLA-H,RAB9A,H2AX,MRPS21,SLC16A3,RNF213,CAMK1D,ACSF3,IFIT2,ISG15,IFIH1	CSTF1,RIPK2,SLC15A3,OAS3,DDX49,BST2,RIDA,CMPK2,OASL,HLA-F,HERC6,DTX3L,ITGB5,ERAP1,TRIM56,ISG20,COMMD1,TIMM22,UBA7,MX2,ALG12,LIPA,PLAUR,OAS2,PLSCR1,PARP9,CES1,GLMP,COA3,MT-ND3,COA6,PLA2G4A,S100A4,GBP1,CYP2J2,IFIT3,YIF1A,DDX58,TRIM5,LGALS9,MX1,OAS1,PNPT1,SLC35A2,HELZ2,HFE,RAB9A,H2AX,MRPS21,SLC16A3,RNF213,CAMK1D,ACSF3,IFIT2,ISG15,IFIH1	3.21e-05	0.0128	Intracellular organelle	1.8927900303521317	0.17800227967908488	0.3369209403565237
Process	GO:0009615	23	356	9606	OAS3,BST2,OASL,DTX3L,TRIM56,ISG20,MX2,OAS2,PLSCR1,PARP9,GBP1,IFI44,IFI44L,IFIT1,IFIT3,RIGI,TRIM5,LGALS9,MX1,OAS1,IFIT2,ISG15,IFIH1	OAS3,BST2,OASL,DTX3L,TRIM56,ISG20,MX2,OAS2,PLSCR1,PARP9,GBP1,IFI44,IFI44L,IFIT1,IFIT3,DDX58,TRIM5,LGALS9,MX1,OAS1,IFIT2,ISG15,IFIH1	2.13e-21	1.71e-17	Response to virus	16.767003889607846	1.2227702841010863	20.502194109619804
Process	GO:0051607	21	252	9606	OAS3,BST2,OASL,DTX3L,TRIM56,ISG20,MX2,OAS2,PLSCR1,PARP9,GBP1,IFI44L,IFIT1,IFIT3,RIGI,TRIM5,MX1,OAS1,IFIT2,ISG15,IFIH1	OAS3,BST2,OASL,DTX3L,TRIM56,ISG20,MX2,OAS2,PLSCR1,PARP9,GBP1,IFI44L,IFIT1,IFIT3,DDX58,TRIM5,MX1,OAS1,IFIT2,ISG15,IFIH1	1.0900000000000001e-21	1.71e-17	Defense response to virus	16.767003889607846	1.333311200008744	22.355634076604314
Process	GO:0044419	32	1490	9606	RIPK2,SLC15A3,OAS3,BST2,CMPK2,OASL,HERC6,DTX3L,ITGB5,ERAP1,TRIM56,ISG20,MX2,OAS2,PLSCR1,PARP9,GBP1,IFI44,IFI44L,IFIT1,IFIT3,RIGI,TRIM5,LGALS9,MX1,OAS1,PARP14,RAB9A,RNF213,IFIT2,ISG15,IFIH1	RIPK2,SLC15A3,OAS3,BST2,CMPK2,OASL,HERC6,DTX3L,ITGB5,ERAP1,TRIM56,ISG20,MX2,OAS2,PLSCR1,PARP9,GBP1,IFI44,IFI44L,IFIT1,IFIT3,DDX58,TRIM5,LGALS9,MX1,OAS1,PARP14,RAB9A,RNF213,IFIT2,ISG15,IFIH1	4.02e-16	1.58e-12	Biological process involved in interspecies interaction between organisms	11.801342913045577	0.7444561559640006	8.785582380258912
Process	GO:0051707	30	1328	9606	RIPK2,SLC15A3,OAS3,BST2,CMPK2,OASL,HERC6,DTX3L,ERAP1,TRIM56,ISG20,MX2,OAS2,PLSCR1,PARP9,GBP1,IFI44,IFI44L,IFIT1,IFIT3,RIGI,TRIM5,LGALS9,MX1,OAS1,PARP14,RNF213,IFIT2,ISG15,IFIH1	RIPK2,SLC15A3,OAS3,BST2,CMPK2,OASL,HERC6,DTX3L,ERAP1,TRIM56,ISG20,MX2,OAS2,PLSCR1,PARP9,GBP1,IFI44,IFI44L,IFIT1,IFIT3,DDX58,TRIM5,LGALS9,MX1,OAS1,PARP14,RNF213,IFIT2,ISG15,IFIH1	1.28e-15	4.01e-12	Response to other organism	11.396855627379818	0.7664156257440324	8.7347282371727
