category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description	-log10(fdr)	Enrichment	GO_score
COMPARTMENTS	GOCC:0005622	125	11512	9606	M6PR,MLF2,CMTM6,RBX1,CNIH1,CSTF1,MTMR9,SLC15A3,OAS3,ACOT2,WASHC3,FYTTD1,NMI,DDX49,DHX58,BST2,HBZ,CMPK2,TIMM10,OASL,TFCP2,HLA-F,GCHFR,TTC19,N4BP1,RRAGB,UBE2R2,HERC6,ALDH8A1,SNRPF,FN3KRP,USP6NL,UBE2L6,SMIM14,DTX3L,IMUP,FADD,ISG20,AAMDC,COMMD1,ZNF622,RIN1,MSRA,TIMM22,WIPF2,PNKP,MTURN,PPM1A,CLASP2,MRPL54,CSTF2T,UBA7,MX2,LIPA,UBE2G2,OAS2,DNAJB12,PARP9,UBE2Z,MPC1,MT-ND1,COA3,MT-ND3,COA6,PLA2G4A,TSPYL1,CHTOP,S100A4,GLMN,GBP4,GBP1,CYP2J2,IFIT1,IFIT3,YIPF3,HDAC1,PPIL1,COMMD3,YIF1A,SYVN1,MCUR1,LYRM7,RIGI,TRIM5,RABGEF1,DNAJC21,RSAD2,BPGM,ORMDL3,LGALS9,TYMP,WDR4,MX1,CTNNA2,OAS1,PRKD2,ASB15,PNPT1,HELZ2,PARP14,CNIH4,SNF8,ADH1C,EPHX2,GSDMD,H2AX,PARP10,LGALS8,TMEM258,ARPP19,PHKG2,MRPS21,SLC16A3,RNF213,NT5C3A,TTI2,CAMK1D,ACSF3,FGF1,IFITM2,TREX1,IFIT2,TBL1X,ISG15,MYD88	M6PR,MLF2,CMTM6,RBX1,CNIH1,CSTF1,MTMR9,SLC15A3,OAS3,ACOT2,WASHC3,FYTTD1,NMI,DDX49,DHX58,BST2,HBZ,CMPK2,TIMM10,OASL,TFCP2,HLA-F,GCHFR,TTC19,N4BP1,RRAGB,UBE2R2,HERC6,ALDH8A1,SNRPF,FN3KRP,USP6NL,UBE2L6,SMIM14,DTX3L,C19orf33,FADD,ISG20,AAMDC,COMMD1,ZNF622,RIN1,MSRA,TIMM22,WIPF2,PNKP,MTURN,PPM1A,CLASP2,MRPL54,CSTF2T,UBA7,MX2,LIPA,UBE2G2,OAS2,DNAJB12,PARP9,UBE2Z,MPC1,MT-ND1,COA3,MT-ND3,COA6,PLA2G4A,TSPYL1,CHTOP,S100A4,GLMN,GBP4,GBP1,CYP2J2,IFIT1,IFIT3,YIPF3,HDAC1,PPIL1,COMMD3,YIF1A,SYVN1,MCUR1,LYRM7,DDX58,TRIM5,RABGEF1,DNAJC21,RSAD2,BPGM,ORMDL3,LGALS9,TYMP,WDR4,MX1,CTNNA2,OAS1,PRKD2,ASB15,PNPT1,HELZ2,PARP14,CNIH4,SNF8,ADH1C,EPHX2,GSDMD,H2AX,PARP10,LGALS8,TMEM258,ARPP19,PHKG2,MRPS21,SLC16A3,RNF213,NT5C3A,TTI2,CAMK1D,ACSF3,FGF1,IFITM2,TREX1,IFIT2,TBL1X,ISG15,MYD88	3.56e-12	8.19e-09	Intracellular	8.086716098239581	0.1726925010140437	1.3965152279955224
COMPARTMENTS	GOCC:0005737	97	8195	9606	M6PR,CMTM6,CNIH1,MTMR9,SLC15A3,OAS3,ACOT2,WASHC3,NMI,DHX58,BST2,HBZ,CMPK2,TIMM10,OASL,HLA-F,GCHFR,TTC19,N4BP1,RRAGB,HERC6,ALDH8A1,SNRPF,USP6NL,UBE2L6,SMIM14,DTX3L,FADD,ISG20,COMMD1,RIN1,MSRA,TIMM22,MTURN,CLASP2,MRPL54,MX2,LIPA,UBE2G2,OAS2,DNAJB12,PARP9,MPC1,MT-ND1,COA3,MT-ND3,COA6,PLA2G4A,S100A4,GBP4,GBP1,CYP2J2,IFIT1,IFIT3,YIPF3,HDAC1,COMMD3,YIF1A,SYVN1,MCUR1,LYRM7,RIGI,TRIM5,RABGEF1,DNAJC21,RSAD2,BPGM,ORMDL3,LGALS9,WDR4,MX1,CTNNA2,OAS1,PRKD2,ASB15,PNPT1,PARP14,CNIH4,SNF8,ADH1C,EPHX2,GSDMD,PARP10,LGALS8,TMEM258,PHKG2,MRPS21,RNF213,NT5C3A,CAMK1D,ACSF3,FGF1,IFITM2,TREX1,IFIT2,ISG15,MYD88	M6PR,CMTM6,CNIH1,MTMR9,SLC15A3,OAS3,ACOT2,WASHC3,NMI,DHX58,BST2,HBZ,CMPK2,TIMM10,OASL,HLA-F,GCHFR,TTC19,N4BP1,RRAGB,HERC6,ALDH8A1,SNRPF,USP6NL,UBE2L6,SMIM14,DTX3L,FADD,ISG20,COMMD1,RIN1,MSRA,TIMM22,MTURN,CLASP2,MRPL54,MX2,LIPA,UBE2G2,OAS2,DNAJB12,PARP9,MPC1,MT-ND1,COA3,MT-ND3,COA6,PLA2G4A,S100A4,GBP4,GBP1,CYP2J2,IFIT1,IFIT3,YIPF3,HDAC1,COMMD3,YIF1A,SYVN1,MCUR1,LYRM7,DDX58,TRIM5,RABGEF1,DNAJC21,RSAD2,BPGM,ORMDL3,LGALS9,WDR4,MX1,CTNNA2,OAS1,PRKD2,ASB15,PNPT1,PARP14,CNIH4,SNF8,ADH1C,EPHX2,GSDMD,PARP10,LGALS8,TMEM258,PHKG2,MRPS21,RNF213,NT5C3A,CAMK1D,ACSF3,FGF1,IFITM2,TREX1,IFIT2,ISG15,MYD88	2.49e-09	2.87e-06	Cytoplasm	5.542118103266008	0.21015604529426302	1.164709623136126
COMPARTMENTS	GOCC:0043231	95	8162	9606	M6PR,CMTM6,RBX1,CNIH1,CSTF1,SLC15A3,OAS3,ACOT2,FYTTD1,NMI,DDX49,BST2,CMPK2,TIMM10,OASL,TFCP2,HLA-F,GCHFR,TTC19,N4BP1,RRAGB,HERC6,SNRPF,USP6NL,SMIM14,DTX3L,ISG20,COMMD1,ZNF622,MSRA,TIMM22,PNKP,PPM1A,CLASP2,MRPL54,CSTF2T,UBA7,MX2,LIPA,UBE2G2,OAS2,DNAJB12,PARP9,UBE2Z,MPC1,MT-ND1,COA3,MT-ND3,COA6,PLA2G4A,TSPYL1,CHTOP,S100A4,GBP4,GBP1,CYP2J2,IFIT3,YIPF3,HDAC1,PPIL1,YIF1A,SYVN1,MCUR1,LYRM7,DNAJC21,RSAD2,ORMDL3,LGALS9,WDR4,MX1,OAS1,PRKD2,PNPT1,HELZ2,CNIH4,SNF8,EPHX2,GSDMD,H2AX,PARP10,TMEM258,MRPS21,SLC16A3,RNF213,NT5C3A,TTI2,CAMK1D,ACSF3,FGF1,IFITM2,TREX1,IFIT2,TBL1X,ISG15,MYD88	M6PR,CMTM6,RBX1,CNIH1,CSTF1,SLC15A3,OAS3,ACOT2,FYTTD1,NMI,DDX49,BST2,CMPK2,TIMM10,OASL,TFCP2,HLA-F,GCHFR,TTC19,N4BP1,RRAGB,HERC6,SNRPF,USP6NL,SMIM14,DTX3L,ISG20,COMMD1,ZNF622,MSRA,TIMM22,PNKP,PPM1A,CLASP2,MRPL54,CSTF2T,UBA7,MX2,LIPA,UBE2G2,OAS2,DNAJB12,PARP9,UBE2Z,MPC1,MT-ND1,COA3,MT-ND3,COA6,PLA2G4A,TSPYL1,CHTOP,S100A4,GBP4,GBP1,CYP2J2,IFIT3,YIPF3,HDAC1,PPIL1,YIF1A,SYVN1,MCUR1,LYRM7,DNAJC21,RSAD2,ORMDL3,LGALS9,WDR4,MX1,OAS1,PRKD2,PNPT1,HELZ2,CNIH4,SNF8,EPHX2,GSDMD,H2AX,PARP10,TMEM258,MRPS21,SLC16A3,RNF213,NT5C3A,TTI2,CAMK1D,ACSF3,FGF1,IFITM2,TREX1,IFIT2,TBL1X,ISG15,MYD88	1.39e-08	1.06e-05	Intracellular membrane-bounded organelle	4.97469413473523	0.20286028378613175	1.0091678639215937
COMPARTMENTS	GOCC:0043227	99	9083	9606	M6PR,CMTM6,RBX1,CNIH1,CSTF1,SLC15A3,OAS3,ACOT2,FYTTD1,NMI,DDX49,BST2,CMPK2,TIMM10,OASL,TFCP2,HLA-F,GCHFR,TTC19,N4BP1,RRAGB,HERC6,SNRPF,USP6NL,SMIM14,DTX3L,ISG20,COMMD1,ZNF622,MSRA,TIMM22,PNKP,PPM1A,CLASP2,MRPL54,CSTF2T,UBA7,MX2,LIPA,UBE2G2,OAS2,DNAJB12,PARP9,UBE2Z,MPC1,MT-ND1,COA3,MT-ND3,COA6,PLA2G4A,TSPYL1,CHTOP,S100A4,GBP4,GBP1,CYP2J2,IFIT3,YIPF3,HDAC1,PPIL1,COMMD3,YIF1A,SYVN1,MCUR1,LYRM7,RIGI,RABGEF1,DNAJC21,RSAD2,BPGM,ORMDL3,LGALS9,WDR4,MX1,OAS1,PRKD2,PNPT1,HELZ2,CNIH4,SNF8,EPHX2,GSDMD,H2AX,PARP10,TMEM258,MRPS21,SLC16A3,RNF213,NT5C3A,TTI2,CAMK1D,ACSF3,FGF1,IFITM2,TREX1,IFIT2,TBL1X,ISG15,MYD88	M6PR,CMTM6,RBX1,CNIH1,CSTF1,SLC15A3,OAS3,ACOT2,FYTTD1,NMI,DDX49,BST2,CMPK2,TIMM10,OASL,TFCP2,HLA-F,GCHFR,TTC19,N4BP1,RRAGB,HERC6,SNRPF,USP6NL,SMIM14,DTX3L,ISG20,COMMD1,ZNF622,MSRA,TIMM22,PNKP,PPM1A,CLASP2,MRPL54,CSTF2T,UBA7,MX2,LIPA,UBE2G2,OAS2,DNAJB12,PARP9,UBE2Z,MPC1,MT-ND1,COA3,MT-ND3,COA6,PLA2G4A,TSPYL1,CHTOP,S100A4,GBP4,GBP1,CYP2J2,IFIT3,YIPF3,HDAC1,PPIL1,COMMD3,YIF1A,SYVN1,MCUR1,LYRM7,DDX58,RABGEF1,DNAJC21,RSAD2,BPGM,ORMDL3,LGALS9,WDR4,MX1,OAS1,PRKD2,PNPT1,HELZ2,CNIH4,SNF8,EPHX2,GSDMD,H2AX,PARP10,TMEM258,MRPS21,SLC16A3,RNF213,NT5C3A,TTI2,CAMK1D,ACSF3,FGF1,IFITM2,TREX1,IFIT2,TBL1X,ISG15,MYD88	1.86e-07	0.00011	Membrane-bounded organelle	3.958607314841775	0.17433914934370384	0.6901402318552787
COMPARTMENTS	GOCC:0043229	99	9609	9606	M6PR,CMTM6,RBX1,CNIH1,CSTF1,SLC15A3,OAS3,ACOT2,FYTTD1,NMI,DDX49,BST2,CMPK2,TIMM10,OASL,TFCP2,HLA-F,GCHFR,TTC19,N4BP1,RRAGB,HERC6,SNRPF,USP6NL,SMIM14,DTX3L,ISG20,COMMD1,ZNF622,MSRA,TIMM22,PNKP,PPM1A,CLASP2,MRPL54,CSTF2T,UBA7,MX2,LIPA,UBE2G2,OAS2,DNAJB12,PARP9,UBE2Z,MPC1,MT-ND1,COA3,MT-ND3,COA6,PLA2G4A,TSPYL1,CHTOP,S100A4,GBP4,GBP1,CYP2J2,IFIT3,YIPF3,HDAC1,PPIL1,COMMD3,YIF1A,SYVN1,MCUR1,LYRM7,RIGI,TRIM5,RABGEF1,DNAJC21,RSAD2,ORMDL3,LGALS9,WDR4,MX1,OAS1,PRKD2,PNPT1,HELZ2,CNIH4,SNF8,EPHX2,GSDMD,H2AX,PARP10,TMEM258,MRPS21,SLC16A3,RNF213,NT5C3A,TTI2,CAMK1D,ACSF3,FGF1,IFITM2,TREX1,IFIT2,TBL1X,ISG15,MYD88	M6PR,CMTM6,RBX1,CNIH1,CSTF1,SLC15A3,OAS3,ACOT2,FYTTD1,NMI,DDX49,BST2,CMPK2,TIMM10,OASL,TFCP2,HLA-F,GCHFR,TTC19,N4BP1,RRAGB,HERC6,SNRPF,USP6NL,SMIM14,DTX3L,ISG20,COMMD1,ZNF622,MSRA,TIMM22,PNKP,PPM1A,CLASP2,MRPL54,CSTF2T,UBA7,MX2,LIPA,UBE2G2,OAS2,DNAJB12,PARP9,UBE2Z,MPC1,MT-ND1,COA3,MT-ND3,COA6,PLA2G4A,TSPYL1,CHTOP,S100A4,GBP4,GBP1,CYP2J2,IFIT3,YIPF3,HDAC1,PPIL1,COMMD3,YIF1A,SYVN1,MCUR1,LYRM7,DDX58,TRIM5,RABGEF1,DNAJC21,RSAD2,ORMDL3,LGALS9,WDR4,MX1,OAS1,PRKD2,PNPT1,HELZ2,CNIH4,SNF8,EPHX2,GSDMD,H2AX,PARP10,TMEM258,MRPS21,SLC16A3,RNF213,NT5C3A,TTI2,CAMK1D,ACSF3,FGF1,IFITM2,TREX1,IFIT2,TBL1X,ISG15,MYD88	4.5e-06	0.0021	Intracellular organelle	2.677780705266081	0.1498902701486018	0.4013732733110463
COMPARTMENTS	GOCC:0031967	19	832	9606	TIMM10,GCHFR,TTC19,TIMM22,MX2,DNAJB12,MPC1,MT-ND1,COA3,MT-ND3,COA6,PLA2G4A,MCUR1,LYRM7,RSAD2,MX1,PNPT1,SLC16A3,TREX1	TIMM10,GCHFR,TTC19,TIMM22,MX2,DNAJB12,MPC1,MT-ND1,COA3,MT-ND3,COA6,PLA2G4A,MCUR1,LYRM7,RSAD2,MX1,PNPT1,SLC16A3,TREX1	1.76e-05	0.0067	Organelle envelope	2.1739251972991736	0.4955635435966411	1.0773180742876056
COMPARTMENTS	GOCC:0043226	100	10113	9606	M6PR,CMTM6,RBX1,CNIH1,CSTF1,SLC15A3,OAS3,ACOT2,FYTTD1,NMI,DDX49,BST2,CMPK2,TIMM10,OASL,TFCP2,HLA-F,GCHFR,TTC19,N4BP1,RRAGB,HERC6,SNRPF,USP6NL,SMIM14,DTX3L,ISG20,COMMD1,ZNF622,MSRA,TIMM22,PNKP,PPM1A,CLASP2,MRPL54,CSTF2T,UBA7,MX2,LIPA,UBE2G2,OAS2,DNAJB12,PARP9,UBE2Z,MPC1,MT-ND1,COA3,MT-ND3,COA6,PLA2G4A,TSPYL1,CHTOP,S100A4,GBP4,GBP1,CYP2J2,IFIT3,YIPF3,HDAC1,PPIL1,COMMD3,YIF1A,SYVN1,MCUR1,LYRM7,RIGI,TRIM5,RABGEF1,DNAJC21,RSAD2,BPGM,ORMDL3,LGALS9,WDR4,MX1,OAS1,PRKD2,PNPT1,HELZ2,CNIH4,SNF8,EPHX2,GSDMD,H2AX,PARP10,TMEM258,MRPS21,SLC16A3,RNF213,NT5C3A,TTI2,CAMK1D,ACSF3,FGF1,IFITM2,TREX1,IFIT2,TBL1X,ISG15,MYD88	M6PR,CMTM6,RBX1,CNIH1,CSTF1,SLC15A3,OAS3,ACOT2,FYTTD1,NMI,DDX49,BST2,CMPK2,TIMM10,OASL,TFCP2,HLA-F,GCHFR,TTC19,N4BP1,RRAGB,HERC6,SNRPF,USP6NL,SMIM14,DTX3L,ISG20,COMMD1,ZNF622,MSRA,TIMM22,PNKP,PPM1A,CLASP2,MRPL54,CSTF2T,UBA7,MX2,LIPA,UBE2G2,OAS2,DNAJB12,PARP9,UBE2Z,MPC1,MT-ND1,COA3,MT-ND3,COA6,PLA2G4A,TSPYL1,CHTOP,S100A4,GBP4,GBP1,CYP2J2,IFIT3,YIPF3,HDAC1,PPIL1,COMMD3,YIF1A,SYVN1,MCUR1,LYRM7,DDX58,TRIM5,RABGEF1,DNAJC21,RSAD2,BPGM,ORMDL3,LGALS9,WDR4,MX1,OAS1,PRKD2,PNPT1,HELZ2,CNIH4,SNF8,EPHX2,GSDMD,H2AX,PARP10,TMEM258,MRPS21,SLC16A3,RNF213,NT5C3A,TTI2,CAMK1D,ACSF3,FGF1,IFITM2,TREX1,IFIT2,TBL1X,ISG15,MYD88	3.21e-05	0.0092	Organelle	2.036212172654445	0.13205326169390172	0.2688884588998456
COMPARTMENTS	GOCC:0005829	41	3054	9606	MTMR9,OAS3,NMI,HBZ,OASL,N4BP1,RRAGB,HERC6,SNRPF,UBE2L6,DTX3L,FADD,COMMD1,MSRA,CLASP2,MX2,PLA2G4A,GBP4,GBP1,IFIT1,IFIT3,HDAC1,RIGI,DNAJC21,BPGM,LGALS9,MX1,OAS1,PRKD2,PNPT1,PARP14,SNF8,EPHX2,GSDMD,LGALS8,PHKG2,RNF213,NT5C3A,FGF1,ISG15,MYD88	MTMR9,OAS3,NMI,HBZ,OASL,N4BP1,RRAGB,HERC6,SNRPF,UBE2L6,DTX3L,FADD,COMMD1,MSRA,CLASP2,MX2,PLA2G4A,GBP4,GBP1,IFIT1,IFIT3,HDAC1,DDX58,DNAJC21,BPGM,LGALS9,MX1,OAS1,PRKD2,PNPT1,PARP14,SNF8,EPHX2,GSDMD,LGALS8,PHKG2,RNF213,NT5C3A,FGF1,ISG15,MYD88	9.93e-05	0.0254	Cytosol	1.595166283380062	0.26484809293386913	0.42247674806561725
COMPARTMENTS	GOCC:0005740	13	519	9606	TIMM10,TTC19,TIMM22,MPC1,MT-ND1,COA3,MT-ND3,COA6,PLA2G4A,MCUR1,LYRM7,RSAD2,PNPT1	TIMM10,TTC19,TIMM22,MPC1,MT-ND1,COA3,MT-ND3,COA6,PLA2G4A,MCUR1,LYRM7,RSAD2,PNPT1	0.00017	0.037	Mitochondrial envelope	1.431798275933005	0.5357092633929149	0.7670275997273156
COMPARTMENTS	GOCC:0031090	33	2290	9606	M6PR,CMTM6,CNIH1,SLC15A3,BST2,TIMM10,HLA-F,GCHFR,TTC19,RRAGB,USP6NL,TIMM22,DNAJB12,MPC1,MT-ND1,COA3,MT-ND3,PLA2G4A,GBP1,SYVN1,MCUR1,LYRM7,RIGI,RABGEF1,RSAD2,ORMDL3,MX1,SNF8,TMEM258,SLC16A3,IFITM2,TREX1,MYD88	M6PR,CMTM6,CNIH1,SLC15A3,BST2,TIMM10,HLA-F,GCHFR,TTC19,RRAGB,USP6NL,TIMM22,DNAJB12,MPC1,MT-ND1,COA3,MT-ND3,PLA2G4A,GBP1,SYVN1,MCUR1,LYRM7,DDX58,RABGEF1,RSAD2,ORMDL3,MX1,SNF8,TMEM258,SLC16A3,IFITM2,TREX1,MYD88	0.00016	0.037	Organelle membrane	1.431798275933005	0.2956117264725355	0.42325636030895536
