	fold_change	-log10(fdr_BH)	Gene
sp|O14874|BCKD_HUMAN [3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial OS=Homo sapiens OX=9606 GN=BCKDK PE=1 SV=2	4.842562881842022	5.923747611416133	BCKDK
sp|O14879|IFIT3_HUMAN Interferon-induced protein with tetratricopeptide repeats 3 OS=Homo sapiens OX=9606 GN=IFIT3 PE=1 SV=1	2.2337633525296687	4.3339650944333625	IFIT3
sp|O15013|ARHGA_HUMAN Rho guanine nucleotide exchange factor 10 OS=Homo sapiens OX=9606 GN=ARHGEF10 PE=1 SV=4	3.0892391640832875	2.791863841429008	ARHGEF10
sp|O15194|CTDSL_HUMAN CTD small phosphatase-like protein OS=Homo sapiens OX=9606 GN=CTDSPL PE=1 SV=2	6.603326000801311	4.567633360713286	CTDSPL
sp|O15427|MOT4_HUMAN Monocarboxylate transporter 4 OS=Homo sapiens OX=9606 GN=SLC16A3 PE=1 SV=1	4.412866323927614	6.648465959915423	SLC16A3
sp|O15455|TLR3_HUMAN Toll-like receptor 3 OS=Homo sapiens OX=9606 GN=TLR3 PE=1 SV=1	5.002658873868725	4.8915307560020995	TLR3
sp|O43513|MED7_HUMAN Mediator of RNA polymerase II transcription subunit 7 OS=Homo sapiens OX=9606 GN=MED7 PE=1 SV=1	7.047305621891232	4.512478110727179	MED7
sp|O43790|KRT86_HUMAN Keratin, type II cuticular Hb6 OS=Homo sapiens OX=9606 GN=KRT86 PE=1 SV=1	2.41907999465268	5.5118241614874535	KRT86
sp|O60291|MGRN1_HUMAN E3 ubiquitin-protein ligase MGRN1 OS=Homo sapiens OX=9606 GN=MGRN1 PE=1 SV=2	4.67034665687107	4.34029134744624	MGRN1
sp|O60502|OGA_HUMAN Protein O-GlcNAcase OS=Homo sapiens OX=9606 GN=OGA PE=1 SV=2	4.410780225040949	2.251439428022098	OGA
sp|O75127|PTCD1_HUMAN Pentatricopeptide repeat-containing protein 1, mitochondrial OS=Homo sapiens OX=9606 GN=PTCD1 PE=1 SV=2	3.5368182564371877	6.337720437751344	PTCD1
sp|O94854|K0754_HUMAN Microtubule-actin cross-linking factor 1, isoforms 6/7 OS=Homo sapiens OX=9606 GN=MACF1 PE=2 SV=5	5.677228290161388	5.9222458654015195	MACF1
sp|O95352|ATG7_HUMAN Ubiquitin-like modifier-activating enzyme ATG7 OS=Homo sapiens OX=9606 GN=ATG7 PE=1 SV=1	3.52601884117818	6.337720437751344	ATG7
sp|O95817|BAG3_HUMAN BAG family molecular chaperone regulator 3 OS=Homo sapiens OX=9606 GN=BAG3 PE=1 SV=3	5.780200751728094	3.656475315810508	BAG3
sp|O96006|ZBED1_HUMAN E3 SUMO-protein ligase ZBED1 OS=Homo sapiens OX=9606 GN=ZBED1 PE=1 SV=1	3.5513118610954693	6.337720437751344	ZBED1
sp|P00395|COX1_HUMAN Cytochrome c oxidase subunit 1 OS=Homo sapiens OX=9606 GN=MT-CO1 PE=1 SV=1	6.443440605926991	5.786575882870945	MT-CO1
sp|P00973|OAS1_HUMAN 2'-5'-oligoadenylate synthase 1 OS=Homo sapiens OX=9606 GN=OAS1 PE=1 SV=4	6.106790206380428	3.5177044419732	OAS1
sp|P02675|FIBB_HUMAN Fibrinogen beta chain OS=Homo sapiens OX=9606 GN=FGB PE=1 SV=2	5.68145270994036	4.395711715481255	FGB
sp|P02679|FIBG_HUMAN Fibrinogen gamma chain OS=Homo sapiens OX=9606 GN=FGG PE=1 SV=3	5.935383234390678	4.43939174877318	FGG
sp|P02778|CXL10_HUMAN C-X-C motif chemokine 10 OS=Homo sapiens OX=9606 GN=CXCL10 PE=1 SV=2	13.611259176565602	5.121104651465296	CXCL10
