	fold_change	-log10(fdr_BH)	Gene
sp|O00425|IF2B3_HUMAN Insulin-like growth factor 2 mRNA-binding protein 3 OS=Homo sapiens OX=9606 GN=IGF2BP3 PE=1 SV=2	17.78008144389852	7.33516121802621	IGF2BP3
sp|O00767|SCD_HUMAN Stearoyl-CoA desaturase OS=Homo sapiens OX=9606 GN=SCD PE=1 SV=2	11.710592409374698	5.705514155106158	SCD
sp|O14910|LIN7A_HUMAN Protein lin-7 homolog A OS=Homo sapiens OX=9606 GN=LIN7A PE=1 SV=2	10.504640832064958	6.1107051668181604	LIN7A
sp|O15061|SYNEM_HUMAN Synemin OS=Homo sapiens OX=9606 GN=SYNM PE=1 SV=3	6.400041361213551	5.7329368668423815	SYNM
sp|O15305|PMM2_HUMAN Phosphomannomutase 2 OS=Homo sapiens OX=9606 GN=PMM2 PE=1 SV=1	10.197140620576583	6.082355492939574	PMM2
sp|O43808|PM34_HUMAN Peroxisomal membrane protein PMP34 OS=Homo sapiens OX=9606 GN=SLC25A17 PE=1 SV=1	5.817276744571026	5.69716727160326	SLC25A17
sp|O60551|NMT2_HUMAN Glycylpeptide N-tetradecanoyltransferase 2 OS=Homo sapiens OX=9606 GN=NMT2 PE=1 SV=1	7.96204813585782	6.448666768985186	NMT2
sp|O60942|MCE1_HUMAN mRNA-capping enzyme OS=Homo sapiens OX=9606 GN=RNGTT PE=1 SV=1	3.849151574662032	6.840937633646298	RNGTT
sp|O75153|CLU_HUMAN Clustered mitochondria protein homolog OS=Homo sapiens OX=9606 GN=CLUH PE=1 SV=2	6.910864065474965	5.973271254739348	CLUH
sp|O75379|VAMP4_HUMAN Vesicle-associated membrane protein 4 OS=Homo sapiens OX=9606 GN=VAMP4 PE=1 SV=2	8.466516427392419	7.33516121802621	VAMP4
sp|O75600|KBL_HUMAN 2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial OS=Homo sapiens OX=9606 GN=GCAT PE=1 SV=1	6.820440502439025	7.306151632382929	GCAT
sp|O75683|SURF6_HUMAN Surfeit locus protein 6 OS=Homo sapiens OX=9606 GN=SURF6 PE=1 SV=3	8.269368722166273	5.627459175592229	SURF6
sp|O75911|DHRS3_HUMAN Short-chain dehydrogenase/reductase 3 OS=Homo sapiens OX=9606 GN=DHRS3 PE=1 SV=2	8.625921315579305	6.079459263203853	DHRS3
sp|O95376|ARI2_HUMAN E3 ubiquitin-protein ligase ARIH2 OS=Homo sapiens OX=9606 GN=ARIH2 PE=1 SV=1	4.4003532551895725	6.255756932044275	ARIH2
sp|O95453|PARN_HUMAN Poly(A)-specific ribonuclease PARN OS=Homo sapiens OX=9606 GN=PARN PE=1 SV=1	5.4139691689613105	7.161253142077695	PARN
sp|O95478|NSA2_HUMAN Ribosome biogenesis protein NSA2 homolog OS=Homo sapiens OX=9606 GN=NSA2 PE=1 SV=1	8.855577446907422	7.33516121802621	NSA2
sp|O95817|BAG3_HUMAN BAG family molecular chaperone regulator 3 OS=Homo sapiens OX=9606 GN=BAG3 PE=1 SV=3	13.579979964694136	6.651480530245284	BAG3
sp|O96006|ZBED1_HUMAN E3 SUMO-protein ligase ZBED1 OS=Homo sapiens OX=9606 GN=ZBED1 PE=1 SV=1	3.541330745776296	6.710281406249223	ZBED1
