category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description	-log10(fdr)	Enrichment	GO_score
COMPARTMENTS	GOCC:0005622	157	11512	9606	USP18,PANX1,SLC15A3,LDAH,DDX55,ACOT2,PEX16,NMI,SYS1,RAB22A,KRT9,ERI1,TRIM21,PTPRE,VPS4A,MACROD1,MED10,CMPK2,SP110,C2orf49,GMPR,GTF2H4,NRM,TAOK1,TRIP4,TUBGCP3,TELO2,MGRN1,CFAP20,PGS1,ALG6,HERC6,HERC5,FGF2,KRT10,CALR3,TIMM29,RASA1,MMS22L,VPS51,USP15,MED21,GTF2E1,OTULIN,PDLIM3,RHOC,MED7,RASA2,TYSND1,PTCD1,VCAM1,PEX13,PTX3,CMBL,TLR3,METTL3,SDHAF2,ANTXR1,CHSY3,NUDT9,FGB,ISG20,YEATS2,TUT1,SGSH,COG4,SGF29,SAMD4B,SLC25A22,FZD2,ORMDL1,CSF1,TBK1,TRAPPC6B,BCL9L,FGG,LRRC8D,ARL4C,ATG7,TDRD7,ADD3,MT-CO1,MACF1,OGA,EXOC8,CDC42BPA,THBS2,TFB1M,TIMM17A,PTGS2,LTV1,PIP5K1A,BAG3,STRIP1,GBP5,AFF2,GBP4,USP33,ZNFX1,IFIT1,IFIT3,GPR107,ALPL,RND3,ING1,COMMD3,DSP,VPS16,ACOT6,ZBED1,COMMD8,RSAD2,AMACR,MIPEP,BET1L,COX16,AKT1S1,AKT2,PAIP2,BCKDK,ALAS1,ETV6,IRF9,MRPL23,USP47,MORC3,MTA3,ARMC5,OAS1,CASP4,C1GALT1,PTPRJ,ATP13A3,HELZ2,IDO1,ARHGEF10,BRK1,GSDMD,DENND2B,PARP10,IST1,KRT86,ATXN2,TNFAIP2,SLC16A3,RNF213,RAB4B,GTF2H5,CDC42EP3,TNFAIP3,TBC1D2,TREX1,IFIT2,DYNC2H1,IFIH1,CCNH,URM1	USP18,PANX1,SLC15A3,LDAH,DDX55,ACOT2,PEX16,NMI,SYS1,RAB22A,KRT9,ERI1,TRIM21,PTPRE,VPS4A,MACROD1,MED10,CMPK2,SP110,C2orf49,GMPR,GTF2H4,NRM,TAOK1,TRIP4,TUBGCP3,TELO2,MGRN1,CFAP20,PGS1,ALG6,HERC6,HERC5,FGF2,KRT10,CALR3,TIMM29,RASA1,MMS22L,VPS51,USP15,MED21,GTF2E1,OTULIN,PDLIM3,RHOC,MED7,RASA2,TYSND1,PTCD1,VCAM1,PEX13,PTX3,CMBL,TLR3,METTL3,SDHAF2,ANTXR1,CHSY3,NUDT9,FGB,ISG20,YEATS2,TUT1,SGSH,COG4,SGF29,SAMD4B,SLC25A22,FZD2,ORMDL1,CSF1,TBK1,TRAPPC6B,BCL9L,FGG,LRRC8D,ARL4C,ATG7,TDRD7,ADD3,MT-CO1,MACF1,OGA,EXOC8,CDC42BPA,THBS2,TFB1M,TIMM17A,PTGS2,LTV1,PIP5K1A,BAG3,STRIP1,GBP5,AFF2,GBP4,USP33,ZNFX1,IFIT1,IFIT3,GPR107,ALPL,RND3,ING1,COMMD3,DSP,VPS16,ACOT6,ZBED1,COMMD8,RSAD2,AMACR,MIPEP,BET1L,COX16,AKT1S1,AKT2,PAIP2,BCKDK,ALAS1,ETV6,IRF9,MRPL23,USP47,MORC3,MTA3,ARMC5,OAS1,CASP4,C1GALT1,PTPRJ,ATP13A3,HELZ2,IDO1,ARHGEF10,BRK1,GSDMD,DENND2B,PARP10,IST1,KRT86,ATXN2,TNFAIP2,SLC16A3,RNF213,RAB4B,GTF2H5,CDC42EP3,TNFAIP3,TBC1D2,TREX1,IFIT2,DYNC2H1,IFIH1,CCNH,URM1	2.56e-10	5.88e-07	Intracellular	6.230622673923862	0.15040218266590208	0.9370992495258079
COMPARTMENTS	GOCC:0005737	124	8195	9606	USP18,PANX1,SLC15A3,DDX55,ACOT2,PEX16,NMI,SYS1,RAB22A,KRT9,ERI1,TRIM21,PTPRE,VPS4A,CMPK2,TRIP4,TUBGCP3,TELO2,MGRN1,CFAP20,PGS1,ALG6,HERC6,HERC5,KRT10,CALR3,TIMM29,RASA1,VPS51,USP15,OTULIN,PDLIM3,RHOC,RASA2,TYSND1,PTCD1,VCAM1,PEX13,PTX3,TLR3,SDHAF2,ANTXR1,CHSY3,NUDT9,FGB,ISG20,SGSH,COG4,SAMD4B,SLC25A22,FZD2,ORMDL1,CSF1,TBK1,FGG,LRRC8D,ARL4C,ATG7,TDRD7,ADD3,MT-CO1,MACF1,OGA,EXOC8,CDC42BPA,THBS2,TFB1M,TIMM17A,PTGS2,LTV1,PIP5K1A,BAG3,GBP5,GBP4,USP33,ZNFX1,IFIT1,IFIT3,GPR107,ALPL,RND3,COMMD3,DSP,VPS16,ACOT6,RSAD2,AMACR,MIPEP,BET1L,COX16,AKT1S1,AKT2,PAIP2,BCKDK,ALAS1,ETV6,IRF9,MRPL23,USP47,MORC3,ARMC5,OAS1,CASP4,C1GALT1,PTPRJ,ATP13A3,IDO1,BRK1,GSDMD,PARP10,IST1,KRT86,ATXN2,TNFAIP2,RNF213,RAB4B,CDC42EP3,TNFAIP3,TBC1D2,TREX1,IFIT2,DYNC2H1,IFIH1,URM1	USP18,PANX1,SLC15A3,DDX55,ACOT2,PEX16,NMI,SYS1,RAB22A,KRT9,ERI1,TRIM21,PTPRE,VPS4A,CMPK2,TRIP4,TUBGCP3,TELO2,MGRN1,CFAP20,PGS1,ALG6,HERC6,HERC5,KRT10,CALR3,TIMM29,RASA1,VPS51,USP15,OTULIN,PDLIM3,RHOC,RASA2,TYSND1,PTCD1,VCAM1,PEX13,PTX3,TLR3,SDHAF2,ANTXR1,CHSY3,NUDT9,FGB,ISG20,SGSH,COG4,SAMD4B,SLC25A22,FZD2,ORMDL1,CSF1,TBK1,FGG,LRRC8D,ARL4C,ATG7,TDRD7,ADD3,MT-CO1,MACF1,OGA,EXOC8,CDC42BPA,THBS2,TFB1M,TIMM17A,PTGS2,LTV1,PIP5K1A,BAG3,GBP5,GBP4,USP33,ZNFX1,IFIT1,IFIT3,GPR107,ALPL,RND3,COMMD3,DSP,VPS16,ACOT6,RSAD2,AMACR,MIPEP,BET1L,COX16,AKT1S1,AKT2,PAIP2,BCKDK,ALAS1,ETV6,IRF9,MRPL23,USP47,MORC3,ARMC5,OAS1,CASP4,C1GALT1,PTPRJ,ATP13A3,IDO1,BRK1,GSDMD,PARP10,IST1,KRT86,ATXN2,TNFAIP2,RNF213,RAB4B,CDC42EP3,TNFAIP3,TBC1D2,TREX1,IFIT2,DYNC2H1,IFIH1,URM1	1.58e-09	1.82e-06	Cytoplasm	5.739928612014925	0.19552603844093433	1.122305502441049
COMPARTMENTS	GOCC:0043226	141	10113	9606	CD38,PANX1,SLC15A3,LDAH,DDX55,ACOT2,PEX16,TNFSF10,NMI,SYS1,RAB22A,KRT9,ERI1,TRIM21,PTPRE,VPS4A,MACROD1,MED10,CMPK2,SP110,C2orf49,GTF2H4,NRM,TAOK1,TRIP4,TUBGCP3,TELO2,MGRN1,CFAP20,PGS1,HERC6,FGF2,KRT10,CALR3,TIMM29,CTDSPL,MMS22L,VPS51,USP15,MED21,GTF2E1,PDLIM3,RHOC,MED7,TYSND1,PTCD1,VCAM1,PEX13,PTX3,TLR3,METTL3,SDHAF2,ANTXR1,CHSY3,NUDT9,FGB,ISG20,YEATS2,TUT1,SGSH,COG4,SGF29,SLC25A22,FZD2,ORMDL1,CSF1,TBK1,BCL9L,FGG,ATG7,TDRD7,ADD3,MT-CO1,MACF1,EXOC8,CDC42BPA,THBS2,TFB1M,TIMM17A,PTGS2,LTV1,PIP5K1A,BAG3,STRIP1,GBP5,AFF2,GBP4,USP33,ZNFX1,IFIT3,GPR107,PCDH15,ALPL,RND3,ING1,COMMD3,DSP,PTPRA,VPS16,ACOT6,ZBED1,RSAD2,AMACR,MIPEP,BET1L,COX16,AKT2,BCKDK,ALAS1,ETV6,IRF9,MRPL23,USP47,MORC3,MTA3,OAS1,CASP4,C1GALT1,CD70,PTPRJ,ATP13A3,HELZ2,IDO1,ARHGEF10,GSDMD,PARP10,IST1,KRT86,ATXN2,SLC16A3,RNF213,RAB4B,GTF2H5,CDC42EP3,TNFAIP3,TBC1D2,TREX1,IFIT2,DYNC2H1,IFIH1,CCNH	CD38,PANX1,SLC15A3,LDAH,DDX55,ACOT2,PEX16,TNFSF10,NMI,SYS1,RAB22A,KRT9,ERI1,TRIM21,PTPRE,VPS4A,MACROD1,MED10,CMPK2,SP110,C2orf49,GTF2H4,NRM,TAOK1,TRIP4,TUBGCP3,TELO2,MGRN1,CFAP20,PGS1,HERC6,FGF2,KRT10,CALR3,TIMM29,CTDSPL,MMS22L,VPS51,USP15,MED21,GTF2E1,PDLIM3,RHOC,MED7,TYSND1,PTCD1,VCAM1,PEX13,PTX3,TLR3,METTL3,SDHAF2,ANTXR1,CHSY3,NUDT9,FGB,ISG20,YEATS2,TUT1,SGSH,COG4,SGF29,SLC25A22,FZD2,ORMDL1,CSF1,TBK1,BCL9L,FGG,ATG7,TDRD7,ADD3,MT-CO1,MACF1,EXOC8,CDC42BPA,THBS2,TFB1M,TIMM17A,PTGS2,LTV1,PIP5K1A,BAG3,STRIP1,GBP5,AFF2,GBP4,USP33,ZNFX1,IFIT3,GPR107,PCDH15,ALPL,RND3,ING1,COMMD3,DSP,PTPRA,VPS16,ACOT6,ZBED1,RSAD2,AMACR,MIPEP,BET1L,COX16,AKT2,BCKDK,ALAS1,ETV6,IRF9,MRPL23,USP47,MORC3,MTA3,OAS1,CASP4,C1GALT1,CD70,PTPRJ,ATP13A3,HELZ2,IDO1,ARHGEF10,GSDMD,PARP10,IST1,KRT86,ATXN2,SLC16A3,RNF213,RAB4B,GTF2H5,CDC42EP3,TNFAIP3,TBC1D2,TREX1,IFIT2,DYNC2H1,IFIH1,CCNH	6.67e-09	5.12e-06	Organelle	5.29073003902417	0.15999241659996272	0.8464766845214919
COMPARTMENTS	GOCC:0043227	130	9083	9606	CD38,PANX1,SLC15A3,DDX55,ACOT2,PEX16,TNFSF10,NMI,SYS1,RAB22A,ERI1,TRIM21,PTPRE,VPS4A,MACROD1,MED10,CMPK2,SP110,C2orf49,GTF2H4,NRM,TAOK1,TRIP4,TELO2,MGRN1,CFAP20,PGS1,HERC6,FGF2,KRT10,CALR3,TIMM29,CTDSPL,MMS22L,VPS51,USP15,MED21,GTF2E1,RHOC,MED7,TYSND1,PTCD1,VCAM1,PEX13,PTX3,TLR3,METTL3,SDHAF2,ANTXR1,CHSY3,NUDT9,FGB,ISG20,YEATS2,TUT1,SGSH,COG4,SGF29,SLC25A22,FZD2,ORMDL1,CSF1,TBK1,BCL9L,FGG,ATG7,MT-CO1,MACF1,EXOC8,CDC42BPA,THBS2,TFB1M,TIMM17A,PTGS2,LTV1,PIP5K1A,BAG3,STRIP1,GBP5,AFF2,GBP4,USP33,ZNFX1,IFIT3,GPR107,ALPL,RND3,ING1,COMMD3,DSP,PTPRA,VPS16,ACOT6,ZBED1,RSAD2,AMACR,MIPEP,BET1L,COX16,AKT2,BCKDK,ALAS1,ETV6,IRF9,MRPL23,USP47,MORC3,MTA3,OAS1,CASP4,C1GALT1,CD70,PTPRJ,ATP13A3,HELZ2,GSDMD,PARP10,IST1,ATXN2,SLC16A3,RNF213,RAB4B,GTF2H5,TNFAIP3,TBC1D2,TREX1,IFIT2,DYNC2H1,IFIH1,CCNH	CD38,PANX1,SLC15A3,DDX55,ACOT2,PEX16,TNFSF10,NMI,SYS1,RAB22A,ERI1,TRIM21,PTPRE,VPS4A,MACROD1,MED10,CMPK2,SP110,C2orf49,GTF2H4,NRM,TAOK1,TRIP4,TELO2,MGRN1,CFAP20,PGS1,HERC6,FGF2,KRT10,CALR3,TIMM29,CTDSPL,MMS22L,VPS51,USP15,MED21,GTF2E1,RHOC,MED7,TYSND1,PTCD1,VCAM1,PEX13,PTX3,TLR3,METTL3,SDHAF2,ANTXR1,CHSY3,NUDT9,FGB,ISG20,YEATS2,TUT1,SGSH,COG4,SGF29,SLC25A22,FZD2,ORMDL1,CSF1,TBK1,BCL9L,FGG,ATG7,MT-CO1,MACF1,EXOC8,CDC42BPA,THBS2,TFB1M,TIMM17A,PTGS2,LTV1,PIP5K1A,BAG3,STRIP1,GBP5,AFF2,GBP4,USP33,ZNFX1,IFIT3,GPR107,ALPL,RND3,ING1,COMMD3,DSP,PTPRA,VPS16,ACOT6,ZBED1,RSAD2,AMACR,MIPEP,BET1L,COX16,AKT2,BCKDK,ALAS1,ETV6,IRF9,MRPL23,USP47,MORC3,MTA3,OAS1,CASP4,C1GALT1,CD70,PTPRJ,ATP13A3,HELZ2,GSDMD,PARP10,IST1,ATXN2,SLC16A3,RNF213,RAB4B,GTF2H5,TNFAIP3,TBC1D2,TREX1,IFIT2,DYNC2H1,IFIH1,CCNH	1.76e-08	1.01e-05	Membrane-bounded organelle	4.995678626217358	0.1713673493036718	0.8560962041478772
COMPARTMENTS	GOCC:0043229	133	9609	9606	PANX1,SLC15A3,LDAH,DDX55,ACOT2,PEX16,NMI,SYS1,RAB22A,KRT9,ERI1,TRIM21,PTPRE,VPS4A,MACROD1,MED10,CMPK2,SP110,C2orf49,GTF2H4,NRM,TRIP4,TUBGCP3,TELO2,MGRN1,CFAP20,PGS1,HERC6,FGF2,KRT10,CALR3,TIMM29,MMS22L,VPS51,USP15,MED21,GTF2E1,PDLIM3,MED7,TYSND1,PTCD1,VCAM1,PEX13,PTX3,TLR3,METTL3,SDHAF2,ANTXR1,CHSY3,NUDT9,FGB,ISG20,YEATS2,TUT1,SGSH,COG4,SGF29,SLC25A22,FZD2,ORMDL1,CSF1,TBK1,BCL9L,FGG,ATG7,TDRD7,ADD3,MT-CO1,MACF1,EXOC8,CDC42BPA,THBS2,TFB1M,TIMM17A,PTGS2,LTV1,PIP5K1A,BAG3,STRIP1,GBP5,AFF2,GBP4,USP33,ZNFX1,IFIT3,GPR107,ALPL,RND3,ING1,COMMD3,DSP,VPS16,ACOT6,ZBED1,RSAD2,AMACR,MIPEP,BET1L,COX16,AKT2,BCKDK,ALAS1,ETV6,IRF9,MRPL23,USP47,MORC3,MTA3,OAS1,CASP4,C1GALT1,PTPRJ,ATP13A3,HELZ2,IDO1,ARHGEF10,GSDMD,PARP10,IST1,KRT86,ATXN2,SLC16A3,RNF213,RAB4B,GTF2H5,CDC42EP3,TNFAIP3,TBC1D2,TREX1,IFIT2,DYNC2H1,IFIH1,CCNH	PANX1,SLC15A3,LDAH,DDX55,ACOT2,PEX16,NMI,SYS1,RAB22A,KRT9,ERI1,TRIM21,PTPRE,VPS4A,MACROD1,MED10,CMPK2,SP110,C2orf49,GTF2H4,NRM,TRIP4,TUBGCP3,TELO2,MGRN1,CFAP20,PGS1,HERC6,FGF2,KRT10,CALR3,TIMM29,MMS22L,VPS51,USP15,MED21,GTF2E1,PDLIM3,MED7,TYSND1,PTCD1,VCAM1,PEX13,PTX3,TLR3,METTL3,SDHAF2,ANTXR1,CHSY3,NUDT9,FGB,ISG20,YEATS2,TUT1,SGSH,COG4,SGF29,SLC25A22,FZD2,ORMDL1,CSF1,TBK1,BCL9L,FGG,ATG7,TDRD7,ADD3,MT-CO1,MACF1,EXOC8,CDC42BPA,THBS2,TFB1M,TIMM17A,PTGS2,LTV1,PIP5K1A,BAG3,STRIP1,GBP5,AFF2,GBP4,USP33,ZNFX1,IFIT3,GPR107,ALPL,RND3,ING1,COMMD3,DSP,VPS16,ACOT6,ZBED1,RSAD2,AMACR,MIPEP,BET1L,COX16,AKT2,BCKDK,ALAS1,ETV6,IRF9,MRPL23,USP47,MORC3,MTA3,OAS1,CASP4,C1GALT1,PTPRJ,ATP13A3,HELZ2,IDO1,ARHGEF10,GSDMD,PARP10,IST1,KRT86,ATXN2,SLC16A3,RNF213,RAB4B,GTF2H5,CDC42EP3,TNFAIP3,TBC1D2,TREX1,IFIT2,DYNC2H1,IFIH1,CCNH	9.62e-08	4.42e-05	Intracellular organelle	4.354577730650908	0.15682675876881877	0.6829143113048601
COMPARTMENTS	GOCC:0110165	171	14060	9606	USP18,CD38,PANX1,SLC15A3,IL1RL1,LDAH,DDX55,ACOT2,PEX16,TNFSF10,NMI,SYS1,RAB22A,KRT9,ERI1,TRIM21,PTPRE,VPS4A,MACROD1,MED10,CMPK2,SP110,C2orf49,GTF2H4,NRM,TAOK1,TRIP4,TUBGCP3,TELO2,MGRN1,CFAP20,PGS1,ALG6,HERC6,HERC5,FGF2,SLC39A6,SECTM1,KRT10,CALR3,TIMM29,CTDSPL,RASA1,MMS22L,VPS51,USP15,MED21,GTF2E1,OTULIN,PDLIM3,RHOC,MED7,RASA2,TYSND1,PTCD1,VCAM1,PEX13,PTX3,ITGA2,TLR3,METTL3,SDHAF2,ANTXR1,CHSY3,NUDT9,CXCL10,FGB,ISG20,YEATS2,TUT1,SGSH,COG4,SGF29,SAMD4B,SLC25A22,FZD2,ORMDL1,CSF1,TBK1,EPHB3,EVI2B,BCL9L,FGG,LRRC8D,ARL4C,ATG7,TDRD7,ADD3,MT-CO1,MACF1,OGA,EXOC8,CDC42BPA,THBS2,TFB1M,TIMM17A,PTGS2,LTV1,XPR1,PIP5K1A,BAG3,STRIP1,GBP5,AFF2,GBP4,USP33,ZNFX1,IFIT1,IFIT3,GPR107,PHACTR4,PCDH15,ALPL,RND3,ING1,COMMD3,BTN3A2,DSP,PTPRA,VPS16,ACOT6,ZBED1,RSAD2,AMACR,MIPEP,BET1L,COX16,AKT1S1,AKT2,PDGFD,PAIP2,BCKDK,ALAS1,ETV6,IRF9,MRPL23,USP47,MORC3,MTA3,ARMC5,OAS1,CASP4,C1GALT1,CD70,PTPRJ,SLC35G2,ATP13A3,HELZ2,IDO1,ARHGEF10,BRK1,GSDMD,PARP10,IST1,KRT86,ATXN2,TNFAIP2,SLC16A3,RNF213,EMP3,RAB4B,GTF2H5,CDC42EP3,TNFAIP3,TBC1D2,TREX1,IFIT2,DYNC2H1,IFIH1,CCNH,URM1	USP18,CD38,PANX1,SLC15A3,IL1RL1,LDAH,DDX55,ACOT2,PEX16,TNFSF10,NMI,SYS1,RAB22A,KRT9,ERI1,TRIM21,PTPRE,VPS4A,MACROD1,MED10,CMPK2,SP110,C2orf49,GTF2H4,NRM,TAOK1,TRIP4,TUBGCP3,TELO2,MGRN1,CFAP20,PGS1,ALG6,HERC6,HERC5,FGF2,SLC39A6,SECTM1,KRT10,CALR3,TIMM29,CTDSPL,RASA1,MMS22L,VPS51,USP15,MED21,GTF2E1,OTULIN,PDLIM3,RHOC,MED7,RASA2,TYSND1,PTCD1,VCAM1,PEX13,PTX3,ITGA2,TLR3,METTL3,SDHAF2,ANTXR1,CHSY3,NUDT9,CXCL10,FGB,ISG20,YEATS2,TUT1,SGSH,COG4,SGF29,SAMD4B,SLC25A22,FZD2,ORMDL1,CSF1,TBK1,EPHB3,EVI2B,BCL9L,FGG,LRRC8D,ARL4C,ATG7,TDRD7,ADD3,MT-CO1,MACF1,OGA,EXOC8,CDC42BPA,THBS2,TFB1M,TIMM17A,PTGS2,LTV1,XPR1,PIP5K1A,BAG3,STRIP1,GBP5,AFF2,GBP4,USP33,ZNFX1,IFIT1,IFIT3,GPR107,PHACTR4,PCDH15,ALPL,RND3,ING1,COMMD3,BTN3A2,DSP,PTPRA,VPS16,ACOT6,ZBED1,RSAD2,AMACR,MIPEP,BET1L,COX16,AKT1S1,AKT2,PDGFD,PAIP2,BCKDK,ALAS1,ETV6,IRF9,MRPL23,USP47,MORC3,MTA3,ARMC5,OAS1,CASP4,C1GALT1,CD70,PTPRJ,SLC35G2,ATP13A3,HELZ2,IDO1,ARHGEF10,BRK1,GSDMD,PARP10,IST1,KRT86,ATXN2,TNFAIP2,SLC16A3,RNF213,EMP3,RAB4B,GTF2H5,CDC42EP3,TNFAIP3,TBC1D2,TREX1,IFIT2,DYNC2H1,IFIH1,CCNH,URM1	2.41e-07	9.24e-05	Cellular anatomical entity	4.0343280287798935	0.10066410089356587	0.4061120037268399
COMPARTMENTS	GOCC:0043231	117	8162	9606	PANX1,SLC15A3,DDX55,ACOT2,PEX16,NMI,SYS1,RAB22A,ERI1,TRIM21,PTPRE,VPS4A,MACROD1,MED10,CMPK2,SP110,C2orf49,GTF2H4,NRM,TRIP4,TELO2,MGRN1,CFAP20,PGS1,HERC6,FGF2,KRT10,CALR3,TIMM29,MMS22L,VPS51,USP15,MED21,GTF2E1,MED7,TYSND1,PTCD1,VCAM1,PEX13,PTX3,TLR3,METTL3,SDHAF2,CHSY3,NUDT9,ISG20,YEATS2,TUT1,SGSH,COG4,SGF29,SLC25A22,ORMDL1,CSF1,TBK1,BCL9L,FGG,ATG7,MT-CO1,MACF1,EXOC8,THBS2,TFB1M,TIMM17A,PTGS2,LTV1,PIP5K1A,BAG3,STRIP1,GBP5,AFF2,GBP4,USP33,ZNFX1,IFIT3,GPR107,ALPL,RND3,ING1,DSP,VPS16,ACOT6,ZBED1,RSAD2,AMACR,MIPEP,BET1L,COX16,AKT2,BCKDK,ALAS1,ETV6,IRF9,MRPL23,USP47,MORC3,MTA3,OAS1,CASP4,C1GALT1,ATP13A3,HELZ2,GSDMD,PARP10,IST1,ATXN2,SLC16A3,RNF213,RAB4B,GTF2H5,TNFAIP3,TBC1D2,TREX1,IFIT2,DYNC2H1,IFIH1,CCNH	PANX1,SLC15A3,DDX55,ACOT2,PEX16,NMI,SYS1,RAB22A,ERI1,TRIM21,PTPRE,VPS4A,MACROD1,MED10,CMPK2,SP110,C2orf49,GTF2H4,NRM,TRIP4,TELO2,MGRN1,CFAP20,PGS1,HERC6,FGF2,KRT10,CALR3,TIMM29,MMS22L,VPS51,USP15,MED21,GTF2E1,MED7,TYSND1,PTCD1,VCAM1,PEX13,PTX3,TLR3,METTL3,SDHAF2,CHSY3,NUDT9,ISG20,YEATS2,TUT1,SGSH,COG4,SGF29,SLC25A22,ORMDL1,CSF1,TBK1,BCL9L,FGG,ATG7,MT-CO1,MACF1,EXOC8,THBS2,TFB1M,TIMM17A,PTGS2,LTV1,PIP5K1A,BAG3,STRIP1,GBP5,AFF2,GBP4,USP33,ZNFX1,IFIT3,GPR107,ALPL,RND3,ING1,DSP,VPS16,ACOT6,ZBED1,RSAD2,AMACR,MIPEP,BET1L,COX16,AKT2,BCKDK,ALAS1,ETV6,IRF9,MRPL23,USP47,MORC3,MTA3,OAS1,CASP4,C1GALT1,ATP13A3,HELZ2,GSDMD,PARP10,IST1,ATXN2,SLC16A3,RNF213,RAB4B,GTF2H5,TNFAIP3,TBC1D2,TREX1,IFIT2,DYNC2H1,IFIH1,CCNH	3.34e-07	0.00011	Intracellular membrane-bounded organelle	3.958607314841775	0.17204258249412674	0.6810490255255196
COMPARTMENTS	GOCC:0099023	6	60	9606	VPS51,COG4,TRAPPC6B,EXOC8,VPS16,TNFAIP2	VPS51,COG4,TRAPPC6B,EXOC8,VPS16,TNFAIP2	4.84e-05	0.0139	Vesicle tethering complex	1.856985199745905	1.015653311185217	1.8860531669438703
COMPARTMENTS	GOCC:0070013	50	2902	9606	DDX55,ACOT2,ERI1,MED10,GTF2H4,TELO2,CALR3,TIMM29,MMS22L,MED21,GTF2E1,MED7,TYSND1,PTCD1,PTX3,METTL3,FGB,ISG20,YEATS2,TUT1,SGSH,SGF29,CSF1,BCL9L,FGG,ATG7,MT-CO1,TFB1M,PTGS2,PIP5K1A,AFF2,ALPL,ING1,COMMD3,ACOT6,ZBED1,RSAD2,AMACR,MIPEP,BCKDK,ALAS1,ETV6,MRPL23,MORC3,MTA3,GSDMD,IST1,RNF213,GTF2H5,CCNH	DDX55,ACOT2,ERI1,MED10,GTF2H4,TELO2,CALR3,TIMM29,MMS22L,MED21,GTF2E1,MED7,TYSND1,PTCD1,PTX3,METTL3,FGB,ISG20,YEATS2,TUT1,SGSH,SGF29,CSF1,BCL9L,FGG,ATG7,MT-CO1,TFB1M,PTGS2,PIP5K1A,AFF2,ALPL,ING1,COMMD3,ACOT6,ZBED1,RSAD2,AMACR,MIPEP,BCKDK,ALAS1,ETV6,MRPL23,MORC3,MTA3,GSDMD,IST1,RNF213,GTF2H5,CCNH	7.07e-05	0.0181	Intracellular organelle lumen	1.7423214251308154	0.25192590741951887	0.43893590604255
COMPARTMENTS	GOCC:0097072	3	7	9606	TLR3,TBK1,IFIH1	TLR3,TBK1,IFIH1	0.00011	0.0209	Interferon regulatory factor 3 complex	1.679853713888946	1.6476765258906227	2.7678555313049986
