File Name,SampleID
LUM2_00711_VG_3821K_3_protein_groups.tsv,3821K
LUM2_00740_VG_3821A_1_protein_groups.tsv,3821A
LUM2_00743_VG_3821A_4_protein_groups.tsv,3821A
LUM2_00712_VG_3821K_4_protein_groups.tsv,3821K
LUM2_00709_VG_3821K_1_protein_groups.tsv,3821K
LUM2_00742_VG_3821A_3_protein_groups.tsv,3821A
LUM2_00721_VG_3821B_1_protein_groups.tsv,3821B
LUM2_00724_VG_3821B_4_protein_groups.tsv,3821B
LUM2_00710_VG_3821K_2_protein_groups.tsv,3821K
LUM2_00723_VG_3821B_3_protein_groups.tsv,3821B
LUM2_00722_VG_3821B_2_protein_groups.tsv,3821B
LUM2_00741_VG_3821A_2_protein_groups.tsv,3821A
