	-log10(fdr_BH)	log2(fold_change)	Gene
sp|A0A0B4J2D5|GAL3B_HUMAN Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial OS=Homo sapiens OX=9606 GN=GATD3B PE=5 SV=1	2.879028457995983	-1.150508998946769	GATD3B
sp|A0A0B4J2F0|PIOS1_HUMAN Protein PIGBOS1 OS=Homo sapiens OX=9606 GN=PIGBOS1 PE=1 SV=1	0.6770793806108208	-0.07383076283017731	PIGBOS1
sp|A0A0U1RRL7|MMPOS_HUMAN Protein MMP24OS OS=Homo sapiens OX=9606 GN=MMP24OS PE=1 SV=1	0.18922759690933608	-0.07825560359463557	MMP24OS
sp|A0A2R8Y4L2|RA1L3_HUMAN Heterogeneous nuclear ribonucleoprotein A1-like 3 OS=Homo sapiens OX=9606 GN=HNRNPA1L3 PE=4 SV=1	1.3051793285393358	0.14406697216231334	HNRNPA1L3
sp|A0AVT1|UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1	1.7484830620521619	0.7874036268457963	UBA6
sp|A0FGR8|ESYT2_HUMAN Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2 PE=1 SV=1	0.5194482836233161	-0.13637767069281725	ESYT2
sp|A0JLT2|MED19_HUMAN Mediator of RNA polymerase II transcription subunit 19 OS=Homo sapiens OX=9606 GN=MED19 PE=1 SV=2	0.38960796974796824	-0.09623543125656431	MED19
sp|A1L0T0|HACL2_HUMAN 2-hydroxyacyl-CoA lyase 2 OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=2	0.12638842783071624	-0.03865684377617229	ILVBL
sp|A1L3X0|ELOV7_HUMAN Elongation of very long chain fatty acids protein 7 OS=Homo sapiens OX=9606 GN=ELOVL7 PE=1 SV=1	4.856553771011757	-2.2406529656999568	ELOVL7
sp|A1X283|SPD2B_HUMAN SH3 and PX domain-containing protein 2B OS=Homo sapiens OX=9606 GN=SH3PXD2B PE=1 SV=3	0.49248218604476085	-0.18039417115906992	SH3PXD2B
sp|A2A3N6|PIPSL_HUMAN Putative PIP5K1A and PSMD4-like protein OS=Homo sapiens OX=9606 GN=PIPSL PE=5 SV=1	0.5084739187419808	0.17992375460321242	PIPSL
sp|A2RRP1|NBAS_HUMAN NBAS subunit of NRZ tethering complex OS=Homo sapiens OX=9606 GN=NBAS PE=1 SV=2	2.206673961370189	0.47540783309091883	NBAS
sp|A4D1E9|GTPBA_HUMAN GTP-binding protein 10 OS=Homo sapiens OX=9606 GN=GTPBP10 PE=1 SV=1	0.7013086134437739	0.3522272326694552	GTPBP10
sp|A5A3E0|POTEF_HUMAN POTE ankyrin domain family member F OS=Homo sapiens OX=9606 GN=POTEF PE=1 SV=2	2.999283174631141	0.348329888502497	POTEF
sp|A5PLL7|PDES1_HUMAN Plasmanylethanolamine desaturase 1 OS=Homo sapiens OX=9606 GN=PEDS1 PE=1 SV=3	0.4125401041633745	-0.15776278789519504	PEDS1
sp|A5YKK6|CNOT1_HUMAN CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2	2.859110900658397	0.9491135947597527	CNOT1
sp|A6NCE7|MP3B2_HUMAN Microtubule-associated proteins 1A/1B light chain 3 beta 2 OS=Homo sapiens OX=9606 GN=MAP1LC3B2 PE=1 SV=1	0.007518534524057687	-0.003965820869668901	MAP1LC3B2
sp|A6NFA0|S31F3_HUMAN Protein SPATA31F3 OS=Homo sapiens OX=9606 GN=SPATA31F3 PE=3 SV=2	5.133928957765525	-2.069282351748254	SPATA31F3
sp|A6NHG4|DDTL_HUMAN D-dopachrome decarboxylase-like protein OS=Homo sapiens OX=9606 GN=DDTL PE=2 SV=1	2.734794257971534	0.9646908905794956	DDTL
sp|A6NHR9|SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCHD1 PE=1 SV=2	0.14931270066842947	0.044007052362561666	SMCHD1
sp|A7E2Y1|MYH7B_HUMAN Myosin-7B OS=Homo sapiens OX=9606 GN=MYH7B PE=1 SV=4	3.587580455334742	-1.3428595818407847	MYH7B
sp|A8CG34|P121C_HUMAN Nuclear envelope pore membrane protein POM 121C OS=Homo sapiens OX=9606 GN=POM121C PE=1 SV=3	0.6068930026634658	0.3916173339036496	POM121C
sp|A8MWD9|RUXGL_HUMAN Putative small nuclear ribonucleoprotein G-like protein 15 OS=Homo sapiens OX=9606 GN=SNRPGP15 PE=5 SV=2	2.251700997055416	0.27352405988213135	SNRPGP15
